layer,eff_rank_img,eff_rank_no,k90_img,k90_no
0.0,,,1.0,1.0
1.0,,,42.0,16.0
2.0,,,53.0,22.0
3.0,,,63.0,35.0
4.0,,,61.0,38.0
5.0,,,57.0,25.0
6.0,,,53.0,31.0
7.0,,,38.0,20.0
8.0,,,40.0,23.0
9.0,,,45.0,33.0
10.0,,,42.0,39.0
11.0,,,54.0,53.0
12.0,,,52.0,46.0
13.0,,,50.0,51.0
14.0,,,48.0,47.0
15.0,,,49.0,48.0
16.0,,,51.0,49.0
17.0,,,53.0,52.0
18.0,,,56.0,51.0
19.0,,,54.0,48.0
20.0,,,60.0,52.0
21.0,,,65.0,55.0
22.0,,,69.0,52.0
23.0,,,79.0,56.0
24.0,,,74.0,49.0
25.0,,,70.0,48.0
26.0,,,62.0,43.0
27.0,,,57.0,40.0
28.0,,,62.0,42.0
29.0,,,67.0,44.0
30.0,,,73.0,48.0
31.0,,,81.0,53.0
32.0,,,88.0,58.0
33.0,,,98.0,63.0
34.0,,,107.0,70.0
35.0,,,114.0,73.0
36.0,,,110.0,71.0
