layer,eff_rank_img,eff_rank_no,k90_img,k90_no
0,0.0,0.0,1,1
1,11.916785856029867,8.724403421449106,61,47
2,12.912172772445352,13.466407223353103,130,113
3,9.533647400962833,14.410181238764617,122,139
4,10.624546834019721,13.480288649872046,130,113
5,11.468708888210143,14.102094761303972,138,120
6,11.265957256359755,11.92319684155348,117,98
7,11.296019570956613,8.773580302755517,105,76
8,10.911675958240592,8.782340679393,96,74
9,11.632670113166714,9.194877338693086,108,87
10,11.383634127807355,9.48919933193319,107,94
11,11.404308966302956,10.495112534474826,111,105
12,12.254591734639787,10.144436467353426,112,107
13,10.738743961824005,9.994946730144573,90,94
14,9.591281429384795,9.30912967377866,83,86
15,9.154898698433897,8.835030239126953,84,86
16,8.824408174617847,8.800707098484283,83,87
17,9.937647582243642,9.18207525298838,98,96
18,9.14867804016591,8.537432486126871,98,94
19,8.125352380200491,8.032790005239539,90,88
20,7.946003635669206,8.06684868380947,92,87
21,7.958894926113949,7.7361052162014525,99,85
22,7.719637297481911,7.356320390992302,98,79
23,8.048265820419092,7.256903859440549,98,78
24,8.26682533555271,7.6765631498351805,94,79
25,9.349611224832262,9.682446821964074,87,83
26,8.833930595272243,9.380788331837426,79,77
27,9.189963683802238,9.63733914398545,80,75
28,9.724923053939676,10.154286829687404,85,82
29,9.899748362509603,10.250029124953512,89,86
30,9.979710178649261,10.056515364572624,94,92
31,9.838360156839403,10.499036310062081,100,100
32,10.431713490981517,11.295640506094177,109,112
33,10.901688794452115,11.883701854832568,121,127
34,10.577686135263194,12.69559965914064,130,144
35,10.50915807179192,13.01907344412313,135,155
36,11.045845612640818,10.259252933706975,112,125
