layer,eff_rank_img,eff_rank_no,k90_img,k90_no
0.0,,,1.0,1.0
1.0,,,12.0,11.0
2.0,,,7.0,6.0
3.0,,,11.0,9.0
4.0,,,11.0,9.0
5.0,,,16.0,13.0
6.0,,,19.0,14.0
7.0,,,26.0,19.0
8.0,,,49.0,42.0
9.0,,,62.0,52.0
10.0,,,68.0,58.0
11.0,,,93.0,81.0
12.0,,,115.0,103.0
13.0,,,131.0,118.0
14.0,,,171.0,153.0
15.0,,,147.0,129.0
16.0,,,210.0,190.0
17.0,,,266.0,233.0
18.0,,,311.0,262.0
19.0,,,354.0,294.0
20.0,,,402.0,332.0
21.0,,,445.0,364.0
22.0,,,437.0,352.0
23.0,,,428.0,341.0
24.0,,,421.0,326.0
25.0,,,388.0,293.0
26.0,,,341.0,243.0
27.0,,,308.0,216.0
28.0,,,281.0,190.0
29.0,,,266.0,181.0
30.0,,,257.0,175.0
31.0,,,260.0,175.0
32.0,,,254.0,178.0
33.0,,,257.0,181.0
34.0,,,262.0,184.0
35.0,,,265.0,183.0
36.0,,,269.0,186.0
37.0,,,271.0,189.0
38.0,,,272.0,188.0
39.0,,,269.0,184.0
40.0,,,267.0,183.0
